Shortcut,Code,Vernacular,Taxon,Grade,Location (64),Grid reference (12),Vice-county,Observer(s) (64),Determiner (64),Date (10),Date Validator,Abundance,Abundance qualifier,Sampling method,Sex,Life stage,Record status,Confidential,Comment (255)
"73.357, 2134, sqsr, xestia xanthographa, xexan",73.357,Square-spot Rustic,Xestia xanthographa,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"16.001, 424, bird-cherry ermine, ypevo, yponomeuta evonymella",16.001,Bird-cherry Ermine,Yponomeuta evonymella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.2, 1883, acasis viretata, acvir, ybb, yellow-barred brindle",70.2,Yellow-barred Brindle,Acasis viretata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"62.035, 1439, acadv, acrobasis advenella, grey knot-horn",62.035,Grey Knot-horn,Acrobasis advenella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.04, 2280, aclep, acronicta leporina, miller",73.04,Miller,Acronicta leporina,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"daga, dgda, actria, acpsia",73.0381,Dark / Grey Dagger,Acronicta tridens/psi,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.092, 1303, psgm, agsel",63.092,Pale-streak Grass-veneer,Agriphila selasella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.093, 1304, sgv, agstr, sgm",63.093,Straw Grass-veneer,Agriphila straminella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,26,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.089, 1305, comgr, agtri, cgm",63.089,Common Grass-veneer,Agriphila tristella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,26,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.325, 2092, agput2, agrotis puta, shuttle-shaped dart",73.325,Shuttle-shaped Dart,Agrotis puta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,13,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.319, 2087, agrotis segetum, agseg, turnip moth",73.319,Turnip Moth,Agrotis segetum,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,33,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.062, 2297, amphipyra pyramidea, ampyr, copper underwing, cu",73.062,Copper Underwing,Amphipyra pyramidea,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.255, 2145, anarta trifolii, antri, nutmeg",73.255,Nutmeg,Anarta trifolii,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,9,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.162, 2321, apamea monoglypha, apmon, dark arches",73.162,Dark Arches,Apamea monoglypha,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"41.002, 873, bladu, blastobasis adustella, dingy dowd",41.002,Dingy Dowd,Blastobasis adustella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.084, 2293, brdom2, bryophila domestica, marbled beauty",73.084,Marbled Beauty,Bryophila domestica,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"35.04, 787, brter, bryotropha terrella, cinerous neb",35.04,Cinerous Neb,Bryotropha terrella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.095, 2389, cacla, caradrina clavipalpis, pale mottled willow, pmw",73.095,Pale Mottled Willow,Caradrina clavipalpis,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.102, 1316, cafal2, catoptria falsella, chequered grass-veneer",63.102,Chequered Grass-veneer,Catoptria falsella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.166, 1076, celac, celypha lacunana, common marble",49.166,Common Marble,Celypha lacunana,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"65.007, 1651, chinese character, cigla, cilix glaucata",65.007,Chinese Character,Cilix glaucata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.338, 1261, codling moth, cydia pomonella, cypom",49.338,Codling Moth,Cydia pomonella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,8,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.334, 2123, diarsia rubi, dirub, small square-spot",73.334,Small Square-spot,Diarsia rubi,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"72.046, 2047, eicom, eilema complana, scarce footman",72.046,Scarce Footman,Eilema complana,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.234, 1913, canary-shouldered thorn, cst, enaln, ennomos alniaria",70.234,Canary-shouldered Thorn,Ennomos alniaria,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.236, 1915, enero, ennomos erosaria, september thorn",70.236,September Thorn,Ennomos erosaria,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.235, 1914, dusky thorn, enfus, ennomos fuscantaria",70.235,Dusky Thorn,Ennomos fuscantaria,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.039, 998, epiphyas postvittana, eppos, lbam, light brown apple-moth",49.039,Light Brown Apple-moth,Epiphyas postvittana,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,5,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.173, 1825, eucen, eupithecia centaureata, lime-speck pug",70.173,Lime-speck Pug,Eupithecia centaureata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.057, 1356, evergestis forficalis, evfor, garden pebble",63.057,Garden Pebble,Evergestis forficalis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"71.005, 1997, fufur, furcula furcula, sallow kitten",71.005,Sallow Kitten,Furcula furcula,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.281, 2173, habic, hadena bicruris, lychnis",73.281,Lychnis,Hadena bicruris,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.099, 2384, hoamb, hoplodrina ambigua, vine's rustic",73.099,Vine's Rustic,Hoplodrina ambigua,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,7,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.123, 2361, hydraecia micacea, hymic, rosy rustic",73.123,Rosy Rustic,Hydraecia micacea,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.267, 2160, bright-line brown-eye, lacanobia oleracea, laole",73.267,Bright-line Brown-eye,Lacanobia oleracea,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.131, 2353, flounced rustic, luperina testacea, lutes",73.131,Flounced Rustic,Luperina testacea,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,16,Exact,LED light,Unrecorded,Adult,NA,No,NA
"clra, cra, meseca",73.1691,Common Rustic?agg.,Mesapamea secalis?agg.,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,6,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.291, 2199/2200, common wainscot, mypal, mythimna pallens",73.291,Common Wainscot,Mythimna pallens,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,5,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.346, 2112, leayu, noctua interjecta, noint",73.346,Least Yellow Underwing,Noctua interjecta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.348, 2111, lbbyu, lesser broad-bordered yellow underwing, noctua janthe, nojan2",73.348,Lesser Broad-bordered Yellow Underwing,Noctua janthe,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.342, 2107, large yellow underwing, lyu, noctua pronuba, nopro",73.342,Large Yellow Underwing,Noctua pronuba,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,8,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.329, 2102, flame shoulder, ochropleura plecta, ocple",73.329,Flame Shoulder,Ochropleura plecta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.022, 2439, gold spot, plfes, plusia festucae",73.022,Gold Spot,Plusia festucae,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"71.02, 2011, pale prominent, pterostoma palpina, ptpal",71.02,Pale Prominent,Pterostoma palpina,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.006, spg, spag, mm, mint moth",63.006,Small Purple & Gold,Pyrausta aurata,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.087, 2385, small mottled willow, spexi, spodoptera exigua",73.087,Small Mottled Willow,Spodoptera exigua,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,20,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.359, 2126, setaceous hebrew character, shc, xec-n, xestia c-nigrum",73.359,Setaceous Hebrew Character,Xestia c-nigrum,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,20,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.358, 2133, sisr, xesex, xestia sexstrigata",73.358,Six-striped Rustic,Xestia sexstrigata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"smerm, yppada",16.0025,Small Emine agg.,Yponomeuta?padella/malinellus/cagnagella,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,09/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"62.035, 1439, acadv, acrobasis advenella, grey knot-horn",62.035,Grey Knot-horn,Acrobasis advenella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.092, 1303, psgm, agsel",63.092,Pale-streak Grass-veneer,Agriphila selasella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.093, 1304, sgv, agstr, sgm",63.093,Straw Grass-veneer,Agriphila straminella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,23,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.089, 1305, comgr, agtri, cgm",63.089,Common Grass-veneer,Agriphila tristella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,23,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.325, 2092, agput2, agrotis puta, shuttle-shaped dart",73.325,Shuttle-shaped Dart,Agrotis puta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,19,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.319, 2087, agrotis segetum, agseg, turnip moth",73.319,Turnip Moth,Agrotis segetum,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,13,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.062, 2297, amphipyra pyramidea, ampyr, copper underwing, cu",73.062,Copper Underwing,Amphipyra pyramidea,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.064, 2299, amphipyra tragopoginis, amtra, mouse moth",73.064,Mouse Moth,Amphipyra tragopoginis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.255, 2145, anarta trifolii, antri, nutmeg",73.255,Nutmeg,Anarta trifolii,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.084, 2293, brdom2, bryophila domestica, marbled beauty",73.084,Marbled Beauty,Bryophila domestica,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"35.047, 779, braff, bryotropha affinis, dark neb",35.047,Dark Neb,Bryotropha affinis,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"35.04, 787, brter, bryotropha terrella, cinerous neb",35.04,Cinerous Neb,Bryotropha terrella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"72.078, 2452, canup, ru, reund",72.078,Red Underwing,Catocala nupta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.038, 994, clcon, clepsis consimilana, privet tortrix",49.038,Privet Tortrix,Clepsis consimilana,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"28.014, 642, crassa unitella, cruni, golden-brown tubic",28.014,Golden-brown Tubic,Crassa unitella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.338, 1261, codling moth, cydia pomonella, cypom",49.338,Codling Moth,Cydia pomonella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.235, 1914, dusky thorn, enfus, ennomos fuscantaria",70.235,Dusky Thorn,Ennomos fuscantaria,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.039, 998, epiphyas postvittana, eppos, lbam, light brown apple-moth",49.039,Light Brown Apple-moth,Epiphyas postvittana,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,11,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.12, 2352, dusky sallow, eremobia ochroleuca, eroch",73.12,Dusky Sallow,Eremobia ochroleuca,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.173, 1825, eucen, eupithecia centaureata, lime-speck pug",70.173,Lime-speck Pug,Eupithecia centaureata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,9,Exact,LED light,Unrecorded,Adult,NA,No,NA
"62.048, 1470, ash-bark knot-horn, eupin, euzophera pinguis",62.048,Ash-bark Knot-horn,Euzophera pinguis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.057, 1356, evergestis forficalis, evfor, garden pebble",63.057,Garden Pebble,Evergestis forficalis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.141, 1862, double-striped pug, dsp, gymnoscelis rufifasciata, gyruf",70.141,Double-striped Pug,Gymnoscelis rufifasciata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.279, 2164, broad-barred white, hebic, hecatera bicolorata",73.279,Broad-barred White,Hecatera bicolorata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.099, 2384, hoamb, hoplodrina ambigua, vine's rustic",73.099,Vine's Rustic,Hoplodrina ambigua,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.011, 1708, idaea dimidiata, iddim, sdw, single-dotted wave",70.011,Single-dotted Wave,Idaea dimidiata,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.131, 2353, flounced rustic, luperina testacea, lutes",73.131,Flounced Rustic,Luperina testacea,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,12,Exact,LED light,Unrecorded,Adult,NA,No,NA
"clra, cra, meseca",73.1691,Common Rustic?agg.,Mesapamea secalis?agg.,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,5,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.291, 2199/2200, common wainscot, mypal, mythimna pallens",73.291,Common Wainscot,Mythimna pallens,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,8,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.348, 2111, lbbyu, lesser broad-bordered yellow underwing, noctua janthe, nojan2",73.348,Lesser Broad-bordered Yellow Underwing,Noctua janthe,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.342, 2107, large yellow underwing, lyu, noctua pronuba, nopro",73.342,Large Yellow Underwing,Noctua pronuba,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.329, 2102, flame shoulder, ochropleura plecta, ocple",73.329,Flame Shoulder,Ochropleura plecta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"72.017, 2026, orant, orgyia antiqua, vapourer",72.017,Vapourer,Orgyia antiqua,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.038, 1405, mother of pearl, parur, patania ruralis",63.038,Mother of Pearl,Patania ruralis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.022, 2439, gold spot, plfes, plusia festucae",73.022,Gold Spot,Plusia festucae,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"71.02, 2011, pale prominent, pterostoma palpina, ptpal",71.02,Pale Prominent,Pterostoma palpina,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.006, spg, spag, mm, mint moth",63.006,Small Purple & Gold,Pyrausta aurata,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.087, 2385, small mottled willow, spexi, spodoptera exigua",73.087,Small Mottled Willow,Spodoptera exigua,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,41,Exact,LED light,Unrecorded,Adult,NA,No,NA
"3.001, 15, orange swift, triodia sylvina, trsyl",3.001,Orange Swift,Triodia sylvina,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.359, 2126, setaceous hebrew character, shc, xec-n, xestia c-nigrum",73.359,Setaceous Hebrew Character,Xestia c-nigrum,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,42,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.358, 2133, sisr, xesex, xestia sexstrigata",73.358,Six-striped Rustic,Xestia sexstrigata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"16.001, 424, bird-cherry ermine, ypevo, yponomeuta evonymella",16.001,Bird-cherry Ermine,Yponomeuta evonymella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"smerm, yppada",16.0025,Small Emine agg.,Yponomeuta?padella/malinellus/cagnagella,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"17.005, 455, wainscot smudge, ypsca, ypsolopha scabrella",17.005,Wainscot Smudge,Ypsolopha scabrella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,08/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.001, 2450, abrostola tripartita, abtri1, spectacle",73.001,Spectacle,Abrostola tripartita,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,07/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.115, 1331, acentria ephemerella, aceph, water veneer",63.115,Water Veneer,Acentria ephemerella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,07/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.092, 1303, psgm, agsel",63.092,Pale-streak Grass-veneer,Agriphila selasella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,07/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.093, 1304, sgv, agstr, sgm",63.093,Straw Grass-veneer,Agriphila straminella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,07/08/2026,NA,7,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.089, 1305, comgr, agtri, cgm",63.089,Common Grass-veneer,Agriphila tristella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,07/08/2026,NA,20,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.325, 2092, agput2, agrotis puta, shuttle-shaped dart",73.325,Shuttle-shaped Dart,Agrotis puta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,07/08/2026,NA,8,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.319, 2087, agrotis segetum, agseg, turnip moth",73.319,Turnip Moth,Agrotis segetum,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,07/08/2026,NA,14,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.255, 2145, anarta trifolii, antri, nutmeg",73.255,Nutmeg,Anarta trifolii,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,07/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.095, 2389, cacla, caradrina clavipalpis, pale mottled willow, pmw",73.095,Pale Mottled Willow,Caradrina clavipalpis,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,07/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.161, 1063, barred marble, celypha striana, cestr",49.161,Barred Marble,Celypha striana,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,07/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"65.007, 1651, chinese character, cigla, cilix glaucata",65.007,Chinese Character,Cilix glaucata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,07/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
